,Unnamed: 0,VIVIENDA_REF_ID,SEG_REF_ID,LOC,CV12,CV13,CC4,CC5,CC6,CC7,CC9,CC10,CC11,CC12,AGLO,URP,CANTPERS,CANTHOG,CV951,CV94RA,CV952,MUNI,V0T,CV94,TIPOVIV,V4,CC8,V10,V5,V11,RADIO_REF_ID,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDEPTO,RC01
177980,177980,7405292,235644,18105030,4,13,2,1,2,2,2,1,1,2,103,1,9,1,100,1800,1405,180036,10,0,1,1,2,2,4,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177981,177981,7405293,235644,18105030,9,15,2,1,2,2,2,1,1,2,103,1,0,0,100,1800,1405,180036,7,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177982,177982,7405294,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177983,177983,7405295,235644,18105030,9,15,2,1,2,2,2,1,1,2,103,1,0,0,100,1800,1405,180036,7,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177984,177984,7405296,235644,18105030,4,13,2,1,2,2,2,1,1,2,103,1,12,1,100,1800,1405,180036,10,0,1,1,2,2,4,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177985,177985,7405297,235644,18105030,4,4,2,1,2,2,2,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177986,177986,7405298,235644,18105030,1,4,2,1,2,2,2,1,1,2,103,1,2,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177987,177987,7405299,235644,18105030,5,13,2,1,2,2,2,1,1,2,103,1,7,1,100,1800,1405,180036,10,0,1,2,2,3,4,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177988,177988,7405300,235645,18105030,4,11,2,1,1,1,2,1,1,1,103,1,4,1,100,1800,1405,180036,10,0,1,1,2,3,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177989,177989,7405301,235645,18105030,1,11,2,1,1,1,2,1,1,1,103,1,4,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177990,177990,7405302,235645,18105030,1,4,2,1,1,1,2,1,1,1,103,1,4,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177991,177991,7405303,235645,18105030,4,11,2,1,1,1,2,1,1,1,103,1,6,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177992,177992,7405304,235645,18105030,4,11,2,1,1,1,2,1,1,1,103,1,1,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177993,177993,7405305,235645,18105030,1,4,2,1,1,1,2,1,1,1,103,1,3,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177994,177994,7405306,235645,18105030,9,15,2,1,1,1,2,1,1,1,103,1,0,0,100,1800,1405,180036,2,0,2,10,2,0,5,9,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177995,177995,7405307,235645,18105030,4,11,2,1,1,1,2,1,1,1,103,1,8,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177996,177996,7405308,235645,18105030,4,4,2,1,1,1,2,1,1,1,103,1,11,1,100,1800,1405,180036,10,0,1,1,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177997,177997,7405309,235645,18105030,4,4,2,1,1,1,2,1,1,1,103,1,8,1,100,1800,1405,180036,10,0,1,1,2,3,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177998,177998,7405310,235645,18105030,1,11,2,1,1,1,2,1,1,1,103,1,3,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177999,177999,7405311,235645,18105030,1,4,2,1,1,1,2,1,1,1,103,1,12,1,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
